podcast_title,subscriber_count,episodes_captured,avg_update_interval_days,avg_duration_minutes,avg_play_count,avg_comment_count
42章经,132037,15,15.86,68.2,23978.53,79.6
OnBoard!,56746,15,28.07,119.07,10610.73,28.93
What's Next｜科技早知道,334934,15,5.71,44.93,22397.07,40.87
elsewhere别处发生,17997,7,20.17,96.86,16574.86,52.14
创业内幕 Startup Insider,116766,15,12.43,43.47,2209.0,13.8
十字路口Crossing,119349,15,7.5,57.47,15455.47,36.73
吴聊 | 晓波会客厅,6395,15,70.86,30.93,1707.93,6.13
商业就是这样,780482,15,4.21,33.73,40710.8,69.4
声东击西,783214,15,7.86,55.33,62022.8,167.6
声动早咖啡,1856794,15,1.43,14.8,168874.93,124.2
张小珺Jùn｜商业访谈录,264592,15,9.64,171.13,82285.47,210.8
忽左忽右,1183376,15,3.0,95.67,58081.6,162.73
晚点聊 LateTalk,162340,15,6.14,101.67,22922.93,58.53
泡腾 VC,79574,15,11.43,41.47,11894.47,88.73
硅谷101,564571,15,7.79,64.4,59482.8,110.67
